STUDENT_ID,COLLEGE,MAJOR_NAME,CREDIT_1,CREDIT_2,GPA_1,EXTRA_ACTIVITY,COMPLETE_MAJOR,PF,AR_2016,AR_2017,AR_2018,AR_2019,EVERY_TIME,MAJOR_SCORE
1,Art&Design,동양화,18,12,4.231,300,1,1,15.35,19.85,14.4,10.5,0.111,965.7506666666667
2,Art&Design,동양화,18,18,4.1486,50,1,1,15.35,19.85,14.4,10.5,0.111,737.8199999999999
3,Art&Design,동양화,18,15,4.1206,300,1,1,15.35,19.85,14.4,10.5,0.111,974.6412121212121
4,Art&Design,동양화,18,18,4.1021,300,0,1,15.35,19.85,14.4,10.5,0.111,586.0633333333333
5,Art&Design,동양화,18,18,4.0589,200,1,1,15.35,19.85,14.4,10.5,0.111,885.1633333333333
6,Art&Design,동양화,18,18,4.0482,250,1,1,15.35,19.85,14.4,10.5,0.111,933.1949999999999
7,Art&Design,동양화,18,18,3.9435,300,1,1,15.35,19.85,14.4,10.5,0.111,980.8316666666667
8,Art&Design,동양화,18,18,3.7969999999999997,300,1,1,15.35,19.85,14.4,10.5,0.111,976.465
9,Art&Design,동양화,18,18,3.7394,300,1,1,15.35,19.85,14.4,10.5,0.111,973.3616666666667
10,Art&Design,동양화,18,18,3.6623,300,1,1,15.35,19.85,14.4,10.5,0.111,971.5183333333333
11,Art&Design,동양화,18,18,3.6288,300,1,1,15.35,19.85,14.4,10.5,0.111,970.96
12,Art&Design,동양화,18,18,3.5942,300,1,1,15.35,19.85,14.4,10.5,0.111,969.0966666666667
13,Art&Design,동양화,15,18,3.5411,200,1,1,15.35,19.85,14.4,10.5,0.111,853.1966666666667
14,Art&Design,동양화,18,18,3.3863,300,1,1,15.35,19.85,14.4,10.5,0.111,961.295
15,Art&Design,동양화,18,18,3.2732,300,1,1,15.35,19.85,14.4,10.5,0.111,959.1066666666667
16,Art&Design,동양화,18,18,3.0862,200,1,1,15.35,19.85,14.4,10.5,0.111,852.3533333333334
17,Art&Design,동양화,18,18,3.0317,300,1,1,15.35,19.85,14.4,10.5,0.111,951.0566666666666
18,Art&Design,동양화,18,18,3.0266,300,1,1,15.35,19.85,14.4,10.5,0.111,949.8416666666667
19,Art&Design,동양화,18,18,2.9639,300,1,0,15.35,19.85,14.4,10.5,0.111,948.6033333333334
20,Art&Design,동양화,18,18,2.6943,300,1,0,15.35,19.85,14.4,10.5,0.111,939.5699999999999
21,Art&Design,동양화,18,18,2.5679,50,1,0,15.35,19.85,14.4,10.5,0.111,682.2666666666667
22,Art&Design,동양화,18,18,2.3185,300,1,0,15.35,19.85,14.4,10.5,0.111,921.7183333333334
23,Art&Design,동양화,18,18,1.9131,300,1,0,15.35,19.85,14.4,10.5,0.111,911.2216666666667
24,Art&Design,동양화,18,18,1.7219,300,1,0,15.35,19.85,14.4,10.5,0.111,903.1933333333334
25,Art&Design,동양화,18,18,1.2884,300,1,0,15.35,19.85,14.4,10.5,0.111,888.8683333333333
26,Art&Design,서양화,18,18,4.4997,150,1,1,24.25,26.1,24.75,18.65,0.105,849.99
27,Art&Design,서양화,18,15,4.4111,300,1,1,24.25,26.1,24.75,18.65,0.105,984.300303030303
28,Art&Design,서양화,18,18,4.3955,250,0,1,24.25,26.1,24.75,18.65,0.105,545.835
29,Art&Design,서양화,18,18,4.2832,300,1,1,24.25,26.1,24.75,18.65,0.105,992.1883333333333
30,Art&Design,서양화,18,18,4.2449,300,1,1,24.25,26.1,24.75,18.65,0.105,991.35
31,Art&Design,서양화,18,18,4.231,300,1,1,24.25,26.1,24.75,18.65,0.105,990.7266666666667
32,Art&Design,서양화,18,18,4.1486,300,1,1,24.25,26.1,24.75,18.65,0.105,988.0016666666667
33,Art&Design,서양화,18,18,4.1206,300,1,1,24.25,26.1,24.75,18.65,0.105,987.3333333333334
34,Art&Design,서양화,18,18,4.1066,250,1,1,24.25,26.1,24.75,18.65,0.105,936.8866666666667
35,Art&Design,서양화,18,18,4.0617,300,1,1,24.25,26.1,24.75,18.65,0.105,985.3433333333334
36,Art&Design,서양화,18,18,4.0509,300,1,1,24.25,26.1,24.75,18.65,0.105,984.175
37,Art&Design,서양화,15,18,3.9289,300,1,1,24.25,26.1,24.75,18.65,0.105,968.0724242424243
38,Art&Design,서양화,18,18,3.9074,300,1,1,24.25,26.1,24.75,18.65,0.105,978.305
39,Art&Design,서양화,18,18,3.7868,300,1,1,24.25,26.1,24.75,18.65,0.105,976.2266666666667
40,Art&Design,서양화,18,18,3.7858,300,1,1,24.25,26.1,24.75,18.65,0.105,976.1933333333334
41,Art&Design,서양화,18,18,3.7394,300,1,1,24.25,26.1,24.75,18.65,0.105,974.6466666666666
42,Art&Design,서양화,18,18,3.6416,250,1,1,24.25,26.1,24.75,18.65,0.105,921.3866666666667
43,Art&Design,서양화,18,18,3.5942,300,1,1,24.25,26.1,24.75,18.65,0.105,969.0966666666667
44,Art&Design,서양화,18,18,3.5411,300,1,1,24.25,26.1,24.75,18.65,0.105,966.7683333333333
45,Art&Design,서양화,18,12,3.465,300,1,0,24.25,26.1,24.75,18.65,0.105,940.3906666666667
46,Art&Design,서양화,18,18,3.4568,300,1,0,24.25,26.1,24.75,18.65,0.105,964.4866666666667
47,Art&Design,서양화,18,18,3.3863,300,1,0,24.25,26.1,24.75,18.65,0.105,962.4633333333334
48,Art&Design,서양화,15,18,3.2914,300,1,0,24.25,26.1,24.75,18.65,0.105,947.2133333333334
49,Art&Design,서양화,18,18,3.2732,300,1,0,24.25,26.1,24.75,18.65,0.105,957.8633333333333
50,Art&Design,서양화,18,18,3.0739,300,1,0,24.25,26.1,24.75,18.65,0.105,952.1483333333333
51,Art&Design,서양화,18,18,3.055,300,1,0,24.25,26.1,24.75,18.65,0.105,951.1733333333334
52,Art&Design,서양화,18,18,2.9639,300,1,0,24.25,26.1,24.75,18.65,0.105,948.7966666666666
53,Art&Design,서양화,18,18,2.9523,100,1,0,24.25,26.1,24.75,18.65,0.105,748.41
54,Art&Design,서양화,18,18,2.9422,300,1,0,24.25,26.1,24.75,18.65,0.105,943.9416666666666
55,Art&Design,서양화,15,18,2.6799,300,1,0,24.25,26.1,24.75,18.65,0.105,926.83
56,Art&Design,서양화,18,18,2.6722,300,0,0,24.25,26.1,24.75,18.65,0.105,537.335
57,Art&Design,서양화,18,18,2.3712,300,1,0,24.25,26.1,24.75,18.65,0.105,928.9883333333333
